Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.482
1,2.5,0.05,0.4804
2,2.5,0.05,0.4872
3,2.5,0.05,0.4908
4,2.5,0.05,0.4912
5,2.5,0.05,0.4908
6,2.5,0.05,0.4888
7,2.5,0.05,0.4948
8,2.5,0.05,0.5056
9,2.5,0.05,0.492
10,2.5,0.05,0.4916
11,2.5,0.05,0.4764
12,2.5,0.05,0.4868
13,2.5,0.05,0.4904
14,2.5,0.05,0.4788
15,2.5,0.05,0.4916
16,2.5,0.05,0.5036
17,2.5,0.05,0.5056
18,2.5,0.05,0.4772
19,2.5,0.05,0.4912
20,2.5,0.05,0.4844
21,2.5,0.05,0.4684
22,2.5,0.05,0.4984
23,2.5,0.05,0.5004
24,2.5,0.05,0.4952
25,2.5,0.05,0.4836
26,2.5,0.05,0.4848
27,2.5,0.05,0.49
28,2.5,0.05,0.4984
29,2.4,0.05,0.4932
30,2.4,0.05,0.4912
31,2.4,0.05,0.4876
32,2.4,0.05,0.494
33,2.4,0.05,0.4936
34,2.3,0.05,0.4868
35,2.3,0.05,0.5076
36,2.3,0.05,0.4892
37,2.3,0.05,0.4932
38,2.1999999999999997,0.05,0.492
39,2.1999999999999997,0.05,0.4892
40,1.9999999999999996,0.05,0.508
41,1.9999999999999996,0.05,0.5012
42,1.7999999999999994,0.05,0.4932
43,1.6999999999999993,0.05,0.4916
44,1.6999999999999993,0.05,0.4892
45,1.6999999999999993,0.05,0.4896
46,1.6999999999999993,0.05,0.4872
47,1.6999999999999993,0.05,0.5028
48,1.5999999999999992,0.05,0.4956
49,1.399999999999999,0.05,0.4836
50,1.299999999999999,0.05,0.4904
51,1.1999999999999988,0.05,0.4988
52,1.1999999999999988,0.05,0.5012
53,0.9999999999999988,0.05,0.4952
54,0.7999999999999988,0.05,0.4908
55,0.5999999999999989,0.05,0.4908
56,0.4999999999999989,0.05,0.49
57,0.4999999999999989,0.05,0.488
58,0.29999999999999893,0.05,0.4816
59,0.19999999999999893,0.05,0.4896
60,0.19999999999999893,0.05,0.4884
61,0.1,0.05,0.4836
62,0.1,0.05,0.4868
63,0.1,0.05,0.4852
64,0.1,0.05,0.488
65,0.1,0.05,0.4804
66,0.1,0.05,0.4808
67,0.1,0.05,0.4832
68,0.1,0.05,0.4816
69,0.1,0.04,0.4848
70,0.1,0.04,0.4828
71,0.1,0.019999999999999997,0.4928
72,0.1,0.009999999999999997,0.494
73,0.1,0.009999999999999997,0.4968
74,0.1,0.0,0.4984
75,0.1,0.0,0.4972
76,0.1,0.0,0.5008
77,0.1,0.0,0.4976
78,0.1,0.0,0.4992
79,0.1,0.0,0.5004
80,0.1,0.0,0.5032
81,0.1,0.0,0.5012
82,0.1,0.0,0.5
83,0.1,0.0,0.4992
84,0.1,0.0,0.4992
85,0.1,0.0,0.5016
86,0.1,0.0,0.5004
87,0.1,0.0,0.5004
88,0.1,0.0,0.5
89,0.1,0.0,0.5004
90,0.1,0.0,0.4972
91,0.1,0.0,0.502
92,0.1,0.0,0.5008
93,0.1,0.0,0.4968
94,0.1,0.0,0.5012
95,0.1,0.0,0.4988
96,0.1,0.0,0.4992
97,0.1,0.0,0.5008
98,0.1,0.0,0.4988
99,0.1,0.0,0.5004
100,0.1,0.0,0.5016
101,0.1,0.0,0.5008
102,0.1,0.0,0.5008
103,0.1,0.0,0.5012
104,0.1,0.0,0.4996
105,0.1,0.0,0.4988
106,0.1,0.0,0.498
107,0.1,0.0,0.5004
108,0.1,0.0,0.5012
109,0.1,0.0,0.5004
110,0.1,0.0,0.5004
111,0.1,0.0,0.4996
112,0.1,0.0,0.5
113,0.1,0.0,0.5
114,0.1,0.0,0.502
115,0.1,0.0,0.4992
116,0.1,0.0,0.5004
117,0.1,0.0,0.4984
118,0.1,0.0,0.4988
119,0.1,0.0,0.4976
120,0.1,0.0,0.5
121,0.1,0.0,0.4996
122,0.1,0.0,0.5008
123,0.1,0.0,0.4996
124,0.1,0.0,0.5004
125,0.1,0.0,0.4996
126,0.1,0.0,0.5
127,0.1,0.0,0.4984
128,0.1,0.0,0.5008
129,0.1,0.0,0.498
130,0.1,0.0,0.5012
131,0.1,0.0,0.5008
132,0.1,0.0,0.4996
133,0.1,0.0,0.5016
134,0.1,0.0,0.5012
135,0.1,0.0,0.4996
136,0.1,0.0,0.498
137,0.1,0.0,0.5008
138,0.1,0.0,0.4988
139,0.1,0.0,0.498
140,0.1,0.0,0.4984
141,0.1,0.0,0.502
142,0.1,0.0,0.5012
143,0.1,0.0,0.5
144,0.1,0.0,0.5012
145,0.1,0.0,0.5016
146,0.1,0.0,0.5012
147,0.1,0.0,0.5
148,0.1,0.0,0.4996
149,0.1,0.0,0.4992
150,0.1,0.0,0.4992
151,0.1,0.0,0.5
152,0.1,0.0,0.5016
153,0.1,0.0,0.5
154,0.1,0.0,0.5004
155,0.1,0.0,0.5024
156,0.1,0.0,0.5004
157,0.1,0.0,0.5
158,0.1,0.0,0.5
159,0.1,0.0,0.5
160,0.1,0.0,0.498
161,0.1,0.0,0.5004
162,0.1,0.0,0.5012
163,0.1,0.0,0.4976
164,0.1,0.0,0.5
165,0.1,0.0,0.5
166,0.1,0.0,0.4992
167,0.1,0.0,0.5
168,0.1,0.0,0.4996
169,0.1,0.0,0.5004
170,0.1,0.0,0.4992
171,0.1,0.0,0.5004
172,0.1,0.0,0.4996
173,0.1,0.0,0.5012
174,0.1,0.0,0.498
175,0.1,0.0,0.5004
176,0.1,0.0,0.5016
177,0.1,0.0,0.5008
178,0.1,0.0,0.4984
179,0.1,0.0,0.4988
180,0.1,0.0,0.502
181,0.1,0.0,0.5008
182,0.1,0.0,0.4996
183,0.1,0.0,0.4984
184,0.1,0.0,0.4996
185,0.1,0.0,0.5008
186,0.1,0.0,0.5004
187,0.1,0.0,0.5016
188,0.1,0.0,0.4996
189,0.1,0.0,0.5004
190,0.1,0.0,0.5004
191,0.1,0.0,0.5
192,0.1,0.0,0.502
193,0.1,0.0,0.5012
194,0.1,0.0,0.4988
195,0.1,0.0,0.4996
196,0.1,0.0,0.5008
197,0.1,0.0,0.4988
198,0.1,0.0,0.5016
199,0.1,0.0,0.5008
200,0.1,0.0,0.5
201,0.1,0.0,0.4996
202,0.1,0.0,0.5
203,0.1,0.0,0.5
204,0.1,0.0,0.5004
205,0.1,0.0,0.5012
206,0.1,0.0,0.502
207,0.1,0.0,0.5004
208,0.1,0.0,0.5
209,0.1,0.0,0.4996
210,0.2,0.0,0.4984
211,0.2,0.0,0.5
212,0.30000000000000004,0.0,0.4996
213,0.5,0.0,0.5004
214,0.6,0.0,0.4988
215,0.7999999999999999,0.0,0.5
