Paso,Temperatura,Prob_auditoria,%Evasion
210,2.5,0.71,0.2516
211,2.5,0.72,0.2264
212,2.5,0.74,0.2232
213,2.5,0.76,0.2276
214,2.5,0.77,0.2088
215,2.5,0.79,0.2024
216,2.5,0.81,0.1948
217,2.5,0.82,0.1688
218,2.5,0.84,0.1596
219,2.5,0.86,0.1452
220,2.5,0.87,0.1152
221,2.5,0.89,0.1168
222,2.5,0.91,0.0952
223,2.5,0.91,0.0864
224,2.5,0.91,0.0912
225,2.5,0.91,0.0844
226,2.5,0.91,0.0804
227,2.5,0.91,0.0972
228,2.5,0.91,0.094
229,2.5,0.91,0.0808
230,2.5,0.91,0.0888
231,2.5,0.91,0.0832
232,2.5,0.91,0.086
233,2.5,0.91,0.0948
234,2.5,0.92,0.0888
235,2.5,0.93,0.082
236,2.5,0.93,0.0752
237,2.5,0.93,0.0696
238,2.5,0.93,0.0656
239,2.5,0.94,0.0608
240,2.5,0.95,0.0516
241,2.5,0.95,0.0512
242,2.5,0.95,0.0568
243,2.5,0.95,0.0488
244,2.5,0.95,0.0424
245,2.5,0.95,0.0496
246,2.5,0.95,0.0568
247,2.5,0.95,0.056
248,2.5,0.95,0.0552
249,2.5,0.95,0.05
250,2.5,0.95,0.0448
251,2.5,0.95,0.0484
252,2.5,0.95,0.0536
253,2.5,0.95,0.0516
