Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.502
1,2.5,0.05,0.4892
2,2.5,0.05,0.4936
3,2.5,0.05,0.4916
4,2.5,0.05,0.4904
5,2.5,0.05,0.4896
6,2.5,0.05,0.4804
7,2.5,0.05,0.4892
8,2.5,0.05,0.4988
9,2.5,0.05,0.4948
10,2.5,0.05,0.4844
11,2.5,0.05,0.4948
12,2.5,0.05,0.4844
13,2.5,0.05,0.4984
14,2.5,0.05,0.4932
15,2.5,0.05,0.5012
16,2.5,0.05,0.4972
17,2.5,0.05,0.496
18,2.5,0.05,0.492
19,2.6,0.05,0.4896
20,2.6,0.05,0.4844
21,2.6,0.05,0.4872
22,2.7,0.05,0.4956
23,2.8,0.05,0.4848
24,3,0.05,0.5012
25,3,0.05,0.494
26,3.2,0.05,0.4908
27,3.3,0.05,0.4872
28,3.4,0.05,0.4836
29,3.6,0.05,0.4848
30,3.7,0.05,0.4976
31,3.9,0.05,0.4988
32,4.1,0.05,0.4964
33,4.2,0.05,0.4876
34,4.4,0.05,0.4852
35,4.6,0.05,0.4944
36,4.8,0.05,0.4856
37,4.8,0.05,0.4848
38,4.8,0.05,0.492
39,4.8,0.05,0.498
40,4.8,0.05,0.4976
41,4.8,0.05,0.5072
42,4.8,0.05,0.4896
43,4.8,0.05,0.4956
44,4.8,0.05,0.49
45,4.8,0.05,0.4912
46,4.8,0.05,0.4928
47,4.8,0.05,0.4936
48,4.8,0.05,0.4816
49,4.8,0.05,0.4892
50,4.8,0.05,0.4932
51,4.8,0.05,0.482
52,4.8,0.05,0.4948
53,4.8,0.05,0.5016
54,4.8,0.05,0.4856
55,4.8,0.05,0.472
56,4.8,0.05,0.4892
57,4.7,0.05,0.4744
58,4.7,0.05,0.4852
59,4.7,0.05,0.4972
60,4.6,0.05,0.4968
61,4.5,0.05,0.4988
62,4.3,0.05,0.4884
63,4.2,0.05,0.4788
64,4.1,0.05,0.4728
65,3.9,0.05,0.478
66,3.7,0.05,0.4764
67,3.7,0.05,0.4824
68,3.5,0.05,0.4876
69,3.5,0.05,0.4932
70,3.3,0.05,0.4916
71,3.1,0.05,0.4936
72,3,0.05,0.4852
73,2.9,0.05,0.4908
74,2.7,0.05,0.4944
75,2.6,0.05,0.4876
76,2.4,0.05,0.4952
77,2.2,0.05,0.5072
78,2.2,0.05,0.5004
79,2.1,0.05,0.5016
80,1.9,0.05,0.4928
81,1.9,0.05,0.4912
82,1.8,0.05,0.4964
83,1.6,0.05,0.4896
84,1.6,0.05,0.4924
85,1.5,0.05,0.4936
86,1.3,0.05,0.4844
87,1.3,0.05,0.4912
88,1.2,0.05,0.4968
89,1,0.05,0.4984
90,1,0.05,0.4848
91,0.9,0.05,0.4824
92,0.7,0.05,0.4868
93,0.7,0.05,0.4864
94,0.6,0.05,0.4816
95,0.6,0.05,0.4948
96,0.6,0.05,0.4932
97,0.5,0.05,0.4816
98,0.4,0.05,0.4796
99,0.3,0.05,0.4832
100,0.3,0.05,0.4832
101,0.2,0.05,0.4824
102,0.2,0.05,0.4836
103,0.2,0.05,0.4768
104,0.2,0.05,0.484
105,0.2,0.05,0.4868
106,0.2,0.05,0.4852
107,0.2,0.05,0.4848
108,0.2,0.05,0.4792
109,0.2,0.05,0.4804
110,0.2,0.05,0.4856
111,0.2,0.05,0.484
112,0.2,0.05,0.484
113,0.2,0.05,0.4808
114,0.2,0.05,0.4856
115,0.2,0.05,0.4828
116,0.2,0.05,0.484
117,0.2,0.05,0.4832
118,0.3,0.05,0.4848
119,0.3,0.05,0.4872
120,0.3,0.05,0.4904
121,0.3,0.05,0.4872
122,0.4,0.05,0.484
123,0.6,0.05,0.4856
124,0.8,0.05,0.4868
125,1,0.05,0.4872
126,1.2,0.05,0.4828
127,1.3,0.05,0.4952
128,1.5,0.05,0.492
129,1.6,0.05,0.484
130,1.7,0.05,0.4864
131,1.9,0.05,0.4856
132,2.1,0.05,0.4872
133,2.2,0.05,0.4844
134,2.4,0.05,0.4788
135,2.5,0.05,0.4916
136,2.7,0.05,0.492
137,2.7,0.05,0.4884
138,2.7,0.05,0.4928
139,2.7,0.05,0.4924
140,2.7,0.05,0.4792
141,2.6,0.05,0.4896
142,2.5,0.05,0.482
143,2.5,0.05,0.5036
144,2.5,0.05,0.4824
145,2.5,0.06,0.482
146,2.5,0.06,0.482
147,2.5,0.06,0.4916
148,2.5,0.07,0.4848
149,2.5,0.09,0.4752
150,2.5,0.11,0.4864
151,2.5,0.12,0.4752
152,2.5,0.14,0.4752
153,2.5,0.15,0.4688
154,2.5,0.17,0.456
155,2.5,0.19,0.4608
156,2.5,0.19,0.454
157,2.5,0.2,0.4564
158,2.5,0.22,0.46
159,2.5,0.23,0.4584
160,2.5,0.24,0.4476
161,2.5,0.26,0.4364
162,2.5,0.27,0.4324
163,2.5,0.28,0.4228
164,2.5,0.3,0.4328
165,2.5,0.32,0.434
166,2.5,0.34,0.4344
167,2.5,0.34,0.4228
168,2.5,0.35,0.4184
169,2.5,0.37,0.4088
170,2.5,0.38,0.4032
171,2.5,0.4,0.4
172,2.5,0.42,0.3908
173,2.5,0.43,0.3808
174,2.5,0.44,0.3856
175,2.5,0.46,0.3788
176,2.5,0.46,0.3808
177,2.5,0.46,0.3744
178,2.5,0.46,0.3636
179,2.5,0.46,0.3728
180,2.5,0.46,0.3772
181,2.5,0.46,0.3804
182,2.5,0.46,0.3784
183,2.5,0.46,0.3652
184,2.5,0.46,0.3704
185,2.5,0.46,0.386
186,2.5,0.46,0.3744
187,2.5,0.46,0.3836
188,2.5,0.46,0.3704
189,2.5,0.46,0.3736
190,2.5,0.46,0.386
191,2.5,0.47,0.3716
192,2.5,0.47,0.3676
193,2.5,0.47,0.372
194,2.5,0.48,0.3776
195,2.5,0.5,0.372
196,2.5,0.52,0.3484
197,2.5,0.54,0.3464
198,2.5,0.56,0.3436
199,2.5,0.56,0.3412
200,2.5,0.58,0.3248
201,2.5,0.58,0.328
202,2.5,0.59,0.3204
203,2.5,0.61,0.3048
204,2.5,0.62,0.304
205,2.5,0.63,0.29
206,2.5,0.64,0.296
207,2.5,0.66,0.2852
208,2.5,0.68,0.2512
209,2.5,0.69,0.2536
