Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.4872
1,2.5,0.05,0.4932
2,2.5,0.05,0.4916
3,2.5,0.05,0.4984
4,2.5,0.05,0.5048
5,2.5,0.05,0.4956
6,2.5,0.05,0.4924
7,2.5,0.1,0.4812
8,2.5,0.1,0.4688
9,2.5,0.15000000000000002,0.4704
10,2.5,0.2,0.4456
11,2.5,0.2,0.4528
12,2.5,0.2,0.4628
13,2.5,0.2,0.4572
14,2.5,0.15000000000000002,0.4716
15,2.5,0.15000000000000002,0.4624
16,2.5,0.10000000000000002,0.4856
17,2.5,0.10000000000000002,0.4752
18,2.5,0.10000000000000002,0.4844
19,3.0,0.10000000000000002,0.476
20,3.0,0.10000000000000002,0.4804
21,3.0,0.10000000000000002,0.4808
22,3.5,0.10000000000000002,0.4776
23,3.5,0.10000000000000002,0.4824
24,3.5,0.10000000000000002,0.4884
25,3.5,0.10000000000000002,0.4844
26,3.5,0.10000000000000002,0.4796
27,3.5,0.10000000000000002,0.4848
28,3.5,0.10000000000000002,0.4916
29,3.5,0.10000000000000002,0.4848
30,3.5,0.10000000000000002,0.4832
31,3.5,0.10000000000000002,0.4708
32,3.5,0.10000000000000002,0.4788
33,3.5,0.10000000000000002,0.47
34,3.5,0.10000000000000002,0.4852
35,3.5,0.10000000000000002,0.4816
36,3.5,0.10000000000000002,0.4812
37,3.5,0.10000000000000002,0.4748
38,3.5,0.10000000000000002,0.4684
39,3.5,0.10000000000000002,0.4808
40,3.5,0.10000000000000002,0.478
41,3.5,0.10000000000000002,0.4796
42,3.5,0.10000000000000002,0.4812
43,3.5,0.10000000000000002,0.4852
44,3.5,0.10000000000000002,0.492
45,3.5,0.10000000000000002,0.4836
46,3.5,0.10000000000000002,0.4692
47,3.5,0.10000000000000002,0.4872
48,3.5,0.10000000000000002,0.4832
49,3.5,0.10000000000000002,0.4816
50,3.5,0.10000000000000002,0.4856
51,3.5,0.10000000000000002,0.472
52,3.5,0.10000000000000002,0.4868
53,3.5,0.10000000000000002,0.4708
54,3.5,0.10000000000000002,0.4716
55,3.5,0.10000000000000002,0.4856
