Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.496
1,2.5,0.05,0.4872
2,2.5,0.05,0.4892
3,2.5,0.05,0.4836
4,2.5,0.05,0.4936
5,2.5,0.05,0.486
6,2.5,0.05,0.5048
7,2.0,0.05,0.4868
8,2.0,0.05,0.4876
9,1.5,0.05,0.4868
10,1.0,0.05,0.4876
11,0.5,0.05,0.4844
12,0.01,0.05,0.4824
13,0.01,0.05,0.4932
14,0.01,0.05,0.4892
15,0.01,0.05,0.4904
16,0.51,0.05,0.482
17,0.51,0.05,0.4868
18,0.51,0.05,0.4888
19,0.51,0.05,0.4932
20,1.01,0.05,0.4944
21,1.01,0.05,0.484
22,2.01,0.05,0.4928
23,2.51,0.05,0.4808
24,3.01,0.05,0.4916
25,4.01,0.05,0.5028
26,4.51,0.05,0.4884
27,5.51,0.05,0.4872
28,6.01,0.05,0.4936
29,7.01,0.05,0.4924
30,7.51,0.05,0.4944
31,8.51,0.05,0.4796
32,9.01,0.05,0.502
33,10.01,0.05,0.4896
34,10.51,0.05,0.4856
35,11.51,0.05,0.4792
36,12.01,0.05,0.4992
37,13.01,0.05,0.4868
38,13.51,0.05,0.488
39,14.51,0.05,0.4904
40,15.01,0.05,0.4896
41,16.009999999999998,0.05,0.47
42,16.509999999999998,0.05,0.4988
43,17.509999999999998,0.05,0.49
44,18.009999999999998,0.05,0.4812
45,18.009999999999998,0.0,0.498
46,18.009999999999998,0.0,0.5016
47,18.009999999999998,0.0,0.514
48,18.009999999999998,0.0,0.4936
49,18.509999999999998,0.0,0.4868
50,18.509999999999998,0.0,0.504
51,19.509999999999998,0.0,0.4816
52,19.509999999999998,0.0,0.4968
53,20.509999999999998,0.0,0.5016
54,20.509999999999998,0.0,0.474
55,21.509999999999998,0.0,0.488
56,22.009999999999998,0.0,0.512
57,23.009999999999998,0.0,0.4948
58,23.509999999999998,0.0,0.4948
59,24.509999999999998,0.0,0.51
60,25.009999999999998,0.0,0.5096
61,26.009999999999998,0.0,0.4992
62,26.509999999999998,0.0,0.4912
63,27.509999999999998,0.0,0.4828
64,28.009999999999998,0.0,0.4916
65,29.009999999999998,0.0,0.5192
66,29.509999999999998,0.0,0.4892
