Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.486
1,2.5,0.05,0.5
2,2.5,0.05,0.5008
3,2.0,0.05,0.4952
4,1.5,0.05,0.4784
5,1.5,0.05,0.4928
6,0.5,0.05,0.486
7,0.01,0.05,0.4876
8,0.01,0.05,0.4816
9,0.01,0.05,0.4824
10,0.01,0.05,0.482
11,0.01,0.05,0.4876
12,0.01,0.1,0.48
13,0.01,0.2,0.4532
14,0.01,0.3,0.4268
15,0.01,0.35,0.4104
16,0.01,0.39999999999999997,0.41
17,0.01,0.49999999999999994,0.3712
18,0.01,0.49999999999999994,0.362
19,0.01,0.5499999999999999,0.3516
20,0.01,0.5499999999999999,0.3472
21,0.01,0.5499999999999999,0.3392
22,0.01,0.5499999999999999,0.3412
23,0.01,0.5499999999999999,0.3508
24,0.01,0.5499999999999999,0.3512
25,0.01,0.5499999999999999,0.3596
26,0.01,0.5499999999999999,0.3564
27,0.01,0.5499999999999999,0.3556
28,0.01,0.5499999999999999,0.3536
29,0.01,0.5499999999999999,0.3644
30,0.01,0.5499999999999999,0.3672
31,0.01,0.5499999999999999,0.354
32,0.01,0.5499999999999999,0.3436
33,0.01,0.5499999999999999,0.3644
34,0.01,0.5499999999999999,0.35
35,0.01,0.5499999999999999,0.342
36,0.01,0.5499999999999999,0.3408
37,0.01,0.5499999999999999,0.3524
38,0.01,0.5499999999999999,0.3528
39,0.01,0.5499999999999999,0.3632
40,0.01,0.5499999999999999,0.35
41,0.01,0.5499999999999999,0.3564
42,0.01,0.5499999999999999,0.3428
43,0.01,0.5499999999999999,0.3536
44,0.01,0.5499999999999999,0.344
45,0.01,0.5499999999999999,0.3588
46,0.01,0.5499999999999999,0.3504
47,0.01,0.5499999999999999,0.3568
48,0.01,0.5499999999999999,0.3432
49,0.01,0.5499999999999999,0.3492
50,0.01,0.5499999999999999,0.348
51,0.01,0.5499999999999999,0.3516
52,0.01,0.5499999999999999,0.344
53,0.01,0.5499999999999999,0.352
54,0.01,0.5499999999999999,0.354
55,0.01,0.5499999999999999,0.3312
56,0.01,0.5499999999999999,0.3412
57,0.01,0.5499999999999999,0.344
58,0.01,0.5499999999999999,0.3568
59,0.01,0.5499999999999999,0.3532
60,0.01,0.5499999999999999,0.356
61,0.01,0.5499999999999999,0.3496
62,0.01,0.5499999999999999,0.3556
63,0.01,0.5499999999999999,0.3416
64,0.01,0.5499999999999999,0.3472
65,0.01,0.5499999999999999,0.344
66,0.01,0.5499999999999999,0.344
67,0.01,0.5499999999999999,0.3524
68,0.01,0.5499999999999999,0.3436
69,0.01,0.5499999999999999,0.3364
70,0.01,0.5499999999999999,0.34
71,0.01,0.5499999999999999,0.3476
72,0.01,0.5499999999999999,0.3396
73,0.01,0.5499999999999999,0.3472
74,0.01,0.5499999999999999,0.3508
75,0.01,0.5499999999999999,0.3472
76,0.01,0.5499999999999999,0.3532
77,0.01,0.5499999999999999,0.3492
78,0.01,0.5499999999999999,0.3412
79,0.01,0.5499999999999999,0.356
80,0.01,0.5499999999999999,0.3524
81,0.01,0.5499999999999999,0.3436
82,0.01,0.5499999999999999,0.3384
83,0.01,0.5499999999999999,0.3564
84,0.01,0.5499999999999999,0.3536
85,0.01,0.5499999999999999,0.344
86,0.01,0.5499999999999999,0.3396
87,0.01,0.5499999999999999,0.35
88,0.01,0.5499999999999999,0.3492
89,0.01,0.5499999999999999,0.3464
90,0.01,0.5499999999999999,0.3592
91,0.01,0.5499999999999999,0.3496
92,0.01,0.5499999999999999,0.3612
93,0.01,0.5499999999999999,0.3572
94,0.01,0.5499999999999999,0.3492
95,0.01,0.5499999999999999,0.3528
96,0.01,0.5499999999999999,0.3584
97,0.01,0.5499999999999999,0.3504
98,0.01,0.5499999999999999,0.3536
99,0.01,0.5499999999999999,0.3488
100,0.01,0.5499999999999999,0.3536
101,0.01,0.5499999999999999,0.3408
102,0.01,0.5499999999999999,0.3372
103,0.01,0.5499999999999999,0.3424
104,0.01,0.5499999999999999,0.3588
105,0.01,0.5499999999999999,0.346
106,0.01,0.5499999999999999,0.3548
107,0.01,0.5499999999999999,0.3528
108,0.01,0.5499999999999999,0.3436
109,0.01,0.5499999999999999,0.36
110,0.01,0.5499999999999999,0.3384
111,0.01,0.5499999999999999,0.3496
112,0.01,0.5499999999999999,0.366
113,0.01,0.5499999999999999,0.362
114,0.01,0.5499999999999999,0.3588
115,0.01,0.5499999999999999,0.3556
116,0.01,0.5499999999999999,0.3544
117,0.01,0.5499999999999999,0.3588
118,0.01,0.5499999999999999,0.3564
119,0.01,0.5499999999999999,0.354
120,0.01,0.5499999999999999,0.3484
