Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.4956
1,2.5,0.05,0.4912
2,2.5,0.05,0.4972
3,2.5,0.05,0.4932
4,2.5,0.05,0.49
5,2.5,0.05,0.4872
6,2.5,0.05,0.4876
7,2.5,0.05,0.4844
8,2.5,0.05,0.4876
9,2.5,0.05,0.5068
10,2.5,0.05,0.4908
11,2.5,0.05,0.4808
12,2.5,0.05,0.4808
13,2.5,0.05,0.4852
14,2.5,0.05,0.494
15,2.0,0.05,0.4892
16,1.5,0.05,0.482
17,1.5,0.05,0.4952
18,0.5,0.05,0.4924
19,0.01,0.05,0.49
20,0.01,0.05,0.4928
21,0.01,0.05,0.4816
22,0.01,0.05,0.4892
23,0.01,0.0,0.4952
24,0.01,0.0,0.4968
25,0.01,0.0,0.502
26,0.01,0.0,0.498
27,0.01,0.0,0.4988
28,0.01,0.0,0.5008
29,0.01,0.0,0.5032
30,0.01,0.0,0.4988
31,0.01,0.0,0.4976
32,0.01,0.0,0.496
33,0.01,0.0,0.5008
34,0.01,0.0,0.4984
35,0.01,0.0,0.5004
36,0.01,0.0,0.5004
37,0.01,0.0,0.4972
38,0.01,0.0,0.5016
39,0.01,0.0,0.5008
40,0.01,0.0,0.5
41,0.01,0.0,0.4996
42,0.01,0.0,0.5012
43,0.01,0.0,0.4992
44,0.01,0.0,0.4976
45,0.01,0.0,0.4992
46,0.01,0.0,0.4992
47,0.01,0.0,0.5008
48,0.01,0.0,0.5012
49,0.01,0.0,0.4996
50,0.01,0.0,0.4996
51,0.01,0.0,0.5032
52,0.01,0.0,0.5
53,0.01,0.0,0.5
54,0.01,0.0,0.5024
55,0.01,0.0,0.4996
56,0.01,0.0,0.5
57,0.01,0.0,0.4996
58,0.01,0.0,0.498
59,0.01,0.0,0.5016
60,0.01,0.0,0.5012
61,0.01,0.0,0.502
62,0.01,0.0,0.4988
63,0.01,0.0,0.5008
64,0.01,0.0,0.5008
65,0.01,0.0,0.4984
66,0.01,0.0,0.502
67,0.01,0.0,0.5
68,0.01,0.0,0.5012
69,0.01,0.0,0.4988
70,0.01,0.0,0.5008
