Paso,Temperatura,Prob_auditoria,%Evasion
0,2.5,0.05,0.4976
1,2.5,0.05,0.5016
2,2.5,0.05,0.496
3,2.5,0.05,0.49
4,2.5,0.05,0.4888
5,2.5,0.05,0.4884
6,2.5,0.05,0.504
7,2.5,0.05,0.4984
8,2.5,0.05,0.4936
9,2.5,0.05,0.4916
10,2.5,0.05,0.4896
11,2.5,0.05,0.4808
12,2.5,0.05,0.4808
13,2.5,0.05,0.4868
14,2.5,0.05,0.4924
15,2.5,0.05,0.4908
16,2.5,0.04,0.4932
17,2.5,0.04,0.508
18,2.5,0.03,0.4976
19,2.5,0.019999999999999997,0.5012
20,2.5,0.009999999999999997,0.4904
21,2.5,0.0,0.498
22,2.5,0.0,0.4784
23,2.5,0.0,0.4948
24,2.5,0.0,0.4892
25,2.5,0.0,0.4996
26,2.5,0.0,0.508
27,2.5,0.0,0.5
28,2.4,0.0,0.4932
29,2.3,0.0,0.5076
30,2.1999999999999997,0.0,0.4888
31,2.0999999999999996,0.0,0.494
32,1.9999999999999996,0.0,0.5092
33,1.8999999999999995,0.0,0.4964
34,1.7999999999999994,0.0,0.5032
35,1.6999999999999993,0.0,0.5004
36,1.5999999999999992,0.0,0.4984
37,1.399999999999999,0.0,0.5
38,1.299999999999999,0.0,0.4884
39,1.0999999999999988,0.0,0.506
40,0.8999999999999988,0.0,0.492
41,0.6999999999999988,0.0,0.4996
42,0.6999999999999988,0.0,0.4996
43,0.4999999999999989,0.0,0.4968
44,0.29999999999999893,0.0,0.5004
45,0.19999999999999893,0.0,0.5028
46,0.1,0.0,0.5016
47,0.1,0.0,0.4996
48,0.1,0.0,0.5008
49,0.1,0.0,0.498
50,0.1,0.0,0.5008
51,0.1,0.0,0.5028
52,0.1,0.0,0.5008
53,0.1,0.0,0.4984
54,0.1,0.0,0.5004
55,0.1,0.0,0.4996
56,0.1,0.0,0.5028
57,0.1,0.0,0.498
58,0.1,0.0,0.5004
59,0.1,0.0,0.498
60,0.1,0.0,0.4992
61,0.1,0.0,0.5016
62,0.1,0.0,0.4988
63,0.1,0.0,0.5004
64,0.1,0.0,0.5012
65,0.1,0.0,0.5008
66,0.1,0.0,0.4996
67,0.1,0.0,0.5036
68,0.1,0.0,0.5004
69,0.1,0.0,0.4992
70,0.1,0.0,0.4988
71,0.1,0.0,0.498
72,0.1,0.0,0.5008
73,0.1,0.0,0.5016
74,0.1,0.0,0.5
75,0.1,0.0,0.498
76,0.1,0.0,0.4992
77,0.1,0.0,0.502
78,0.1,0.0,0.4992
79,0.1,0.0,0.4996
80,0.1,0.0,0.5004
81,0.1,0.0,0.5016
82,0.1,0.0,0.4988
83,0.1,0.0,0.4992
84,0.1,0.0,0.5
85,0.1,0.0,0.5024
86,0.1,0.0,0.5
87,0.1,0.0,0.4988
88,0.1,0.0,0.5008
89,0.1,0.0,0.5
90,0.1,0.0,0.5012
91,0.1,0.0,0.498
92,0.1,0.0,0.502
93,0.1,0.0,0.5016
94,0.1,0.0,0.5008
95,0.1,0.0,0.4996
96,0.1,0.0,0.5008
97,0.1,0.0,0.5016
98,0.1,0.0,0.5008
99,0.1,0.0,0.5
100,0.1,0.0,0.4992
101,0.1,0.0,0.5016
102,0.1,0.0,0.5016
103,0.1,0.0,0.4992
104,0.1,0.0,0.498
105,0.1,0.0,0.5008
106,0.1,0.0,0.5004
107,0.1,0.0,0.5
108,0.1,0.0,0.4996
109,0.1,0.0,0.4984
110,0.1,0.0,0.5
111,0.1,0.0,0.5016
112,0.1,0.0,0.5012
113,0.1,0.0,0.4992
114,0.1,0.0,0.4992
115,0.1,0.0,0.4992
116,0.1,0.0,0.5012
117,0.2,0.0,0.5012
118,0.1,0.0,0.502
119,0.1,0.0,0.5
120,0.1,0.0,0.502
121,0.1,0.0,0.4996
122,0.1,0.0,0.5
123,0.1,0.0,0.4988
124,0.1,0.0,0.4996
125,0.1,0.0,0.4988
126,0.1,0.0,0.4996
127,0.1,0.0,0.4988
128,0.1,0.0,0.4992
129,0.1,0.0,0.4992
130,0.1,0.0,0.5004
131,0.1,0.0,0.5
132,0.1,0.0,0.4984
133,0.1,0.0,0.5008
134,0.1,0.0,0.5008
135,0.1,0.0,0.5008
136,0.1,0.0,0.502
137,0.1,0.0,0.5012
138,0.1,0.0,0.5
139,0.1,0.0,0.5012
140,0.1,0.0,0.5012
141,0.1,0.0,0.5004
142,0.1,0.0,0.498
143,0.1,0.0,0.4992
144,0.1,0.0,0.5
145,0.1,0.0,0.5
146,0.1,0.0,0.5016
147,0.1,0.0,0.5004
148,0.1,0.0,0.4996
149,0.1,0.0,0.5004
150,0.1,0.0,0.5028
151,0.1,0.0,0.5004
152,0.1,0.0,0.5008
153,0.1,0.0,0.5008
154,0.1,0.0,0.5
155,0.1,0.0,0.5008
156,0.1,0.0,0.502
157,0.1,0.0,0.5004
158,0.1,0.0,0.5
159,0.1,0.0,0.5
160,0.1,0.0,0.5004
161,0.1,0.0,0.5004
162,0.1,0.0,0.4996
163,0.1,0.0,0.4988
164,0.1,0.0,0.5004
165,0.1,0.0,0.5
166,0.1,0.0,0.498
167,0.1,0.0,0.5012
168,0.1,0.0,0.5004
169,0.1,0.0,0.4992
170,0.1,0.0,0.5008
171,0.1,0.0,0.5
172,0.1,0.0,0.4992
173,0.1,0.0,0.5004
174,0.1,0.0,0.5
175,0.1,0.0,0.5
176,0.1,0.0,0.502
177,0.1,0.0,0.5004
178,0.1,0.0,0.5012
179,0.1,0.0,0.498
180,0.1,0.0,0.4992
181,0.1,0.0,0.4996
182,0.1,0.0,0.5024
183,0.1,0.0,0.5008
184,0.1,0.0,0.5
185,0.1,0.0,0.5008
186,0.1,0.0,0.4988
187,0.1,0.0,0.4992
188,0.1,0.0,0.4984
189,0.1,0.0,0.5
190,0.1,0.0,0.5024
191,0.1,0.0,0.4996
192,0.1,0.0,0.5
193,0.1,0.0,0.4996
194,0.1,0.0,0.4976
195,0.1,0.0,0.5004
196,0.1,0.0,0.4988
